OpenHarmony-SIG/flutter_flutter,flutter_flutter
xuchaoxin1375/AI,learnAIbasic courses materials
Leroyli/Flutter-Demos,SomeFlutterDemos
乔永刚/AI创作系统cahtgpt聊天系统小程序PC端,本项目采用chatgpt、文心一言、chatglm、通义千问等各大模型，具备分销功能、多模型切换、文生图、图生图、saas多开、PC端、APP端、卡密功能、云存储、分销商功能等
zhangyiyong91/flutter,aflutterproject
yangxiaoqiang1992/flutter,flutter-project
寒洲MrJack/AI,记录关于我AI学习程序
Rosen/flutter,flutter从git迁移到gitee
秋刀鱼/Ai,多媒体新项目ai程序设计：后端使用springboot3.0
Neo/ai,"Aiassistant for windows,"
曲云浩/flutter,fluttercode
暴鑫/flutter-boot,A native-flutter-hybrid develop tool helps you add and developflutterwith your existing app
AIFUNTK/ai-panel,ai-panel 快速搭建AI平台
Jerome_android/flutter-scheme,fork自https://github.com/flutter-plugin/flutter-scheme 改变名字
interesting/AI,探索AI，拥抱AI
王子/flutter,fluttergithub加速下载
飞城/ai_tutorial_book,《人工智能入门实践》图书所有代码
oxxther/ios_flutter_sound,在iOS工程集成flutter，flutter_sound框架使用demo
monkeyk7/ai-softman,AI软件人(AISoftman) 在AI基础上生成各类软件项目基础工程结构，包含各类中间件，构建工具等；可预览可下载完整工程包。
极品新/识图AI（接入百度AI平台）,微信小程序 智能识别小程序 接入百度AI平台 基于wepy开发 微信小程序云开发
SimonCK666/Flutter_Learning,Learning Dart andFlutter
codeQ/Ai论文,ai论文，gpt论文，自动论文，论文写作，可过查重
刮牛/flutter例子,1.介绍flutter的开发配置 2.学习dart语法
Zc_nmg/ai,ai整合 chatgpt chatglm-6b
nonoklysj/chatgpt-AI,chatGPTAI问答小助手，结合知识星球使用
MilkCoder/Flutter-learning,":star: :star::star:Flutterall you want.Flutterinstall,fluttersamples,Flutterprojects,Flutterplugin,Flutterproblems,Dart codes"
zszhb/ai,play withAI
zhoufeng/qr.flutter,QR.Flutteris aFlutterlibrary for simple and fast QR code rendering via a Widget or custom painter.
流浪天灾/TX-AI,tx-ai开源的一个ai管理项目
yzc/Flutter_Project,Flutter程序案例
Yu.K/AI-Art-Mobile,platform that assembles a series of generative-aiapplication(mainly focus onai-drawing currently).
CoderSamz/flutter_file,flutteriOS Podfile文件修改，实现自定义iOS依赖的Flutterpod库版本
张Vladimir/AI学习笔记,个人AI学习笔记 MyAIlearning notes
程浩/flutter笔记,flutter学习笔记
之江天枢/Dubhe,之江天枢人工智能开源平台是由之江实验室牵头，联合国内顶尖科研力量共同打造的国产化自主可控的人工智能开源平台。平台面向人工智能研究中的数据处理、算法开发、模型训练、算力管理和推理应用等各个流程的技术难点，研发了包括一站式算法开发平台、高性能分布式深度学习
codehzy/flutter,flutter基本应用学习
霍小七/flutter,fluttergitee镜像
小帅丶/x-ai,人工智能可视化管理平台
justmd5/tencent-ai,腾讯AI开放平台 SDK
DoDayum/flutter测试,flutter测试，version1.0
logacin/ai-test,ai-test for the first project.
xiaoowuu/flutter,Fluttermakes it easy and fast to build beautiful mobile apps.
ifquant/numer.ai,Validation and prediction code for numer.ai
lihouzhan/flutterdemo,flutterdemo
Hugging Face 数据集镜像/ai_society_translated,Mirror of https://huggingface.co/datasets/camel-ai/ai_society_translated
Baihai IDP/IDP,IDP 是一款面向数据科学家和大数据工程师的开源AIIDE。
tank-runner/LibMessageCenter-Flutter,lib message centerflutter
github/flutter,"请切换到码云官方的镜像仓库: https://gitee.com/mirrors/Flutter, 每天自动同步"
AvenirTech 未来科技/Honinbo,开源的围棋AI软件，前端Electron + Vue，后端Python+torch，利用卷积神经网络和强化学习，提供一个强大的围棋引擎
ts-env/flutter,同步github上flutter开源库
luolong/ai-town,"for building and customizing your own version ofAItown - a virtual town whereAIcharacters live, chat and socialize."
杜耀辉/AI导航,AI导航，AIGC资源，AI中文社区是一个专为AI爱好者、学习者、企业家和开发者量身打造的综合性AI资源导航网站。在这个信息爆炸的时代，我们致力于为您提供一个清晰、高效的平台，帮助您快速找到所需的AI资源，无论是学习材料、企业服务还是开发者工具，我们都一应俱全。
zhaocx/flutter,FLutter官网官方demo工程
make-friends-app/make-friends-flutter,make-friends-flutter婚恋交友约会App-flutter
hr-hust/hello-dian.ai,👋 Lab assignments for Introduction Course of dian.ai(DianAIGroup).
George1992/flutter,flutter的SDK
DeepNi/Note-AI,notes aboutAIlearning
OFlutter/flutter_amap_location,fork from https://github.com/best-flutter/flutter_amap_location
shy/ai,基于AI的实况文本功能
张扬/flutter,Fluttermakes it easy and fast to build beautiful mobile apps.
佛山市第一中学-汤勇/AI2Local,64位AI2(App Inventor 2)离线版服务器 单机版 https://gitee.com/fsyz/README/blob/master/AI2Local/README.md
Flutter学习/flutter_widget,flutter组件化，一切皆可组件
Hugging Face 数据集镜像/conv_ai,Mirror of https://huggingface.co/datasets/conv_ai
flutter-mirror/flutter_downloader,FlutterDownloader - A plugin for creating and managing download tasks. Maintainer: @bartekpacia
Donald Trump/Flutter_demo,1、Flutter练习手册
open-flutter/flutter_lib,这是包含了本组织关于flutter的所用工具类
Gao/flutter,一个flutter项目demo
Jonathan/flutter-plugins,flutterwindows webview
大师兄/Flutter,我都flutter的项目工作空间
HashkeyProWallet/flutter_networt,flutternetwork package
Muly/flutter,flutter学习代码笔记提交仓库
